subj,tokprodfr,exchprodfr,price,exp1,exp1cond,exp2,exp2cond,exp3,exp3cond,exp4,exp4cond,exp5,exp5cond,exp6,exp6cond,exp7,exp7cond,freetoken,wage,intrft,intcrit,taxloss,taxcrit,tokprodresp,exchprodresp,tokexchresp,rft,tokennum,inttok,taxtok
1,1,100,1,1,1,,,,,,,,,,,,,,,,,,,82,1600,82,82,19,,
1,1,100,1,1,1,,,,,,,,,,,,,,,,,,,92,1100,92,92,5,,
1,1,100,1,1,1,,,,,,,,,,,,,,,,,,,76,1200,76,76,1,,
1,1,100,1,1,1,,,,,,,,,,,,,,,,,,,69,1800,69,69,0,,
1,1,100,1,1,1,,,,,,,,,,,,,,,,,,,76,1300,76,76,4,,
1,10,100,1,1,3,,,,,,,,,,,,,,,,,,,340,2500,34,34,1,,
1,10,100,1,1,3,,,,,,,,,,,,,,,,,,,280,2000,28,28,1,,
1,10,100,1,1,3,,,,,,,,,,,,,,,,,,,320,2800,32,32,1,,
1,10,100,1,1,3,,,,,,,,,,,,,,,,,,,430,3800,43,43,1,,
1,10,100,1,1,3,,,,,,,,,,,,,,,,,,,420,4000,42,42,0,,
1,5,100,1,1,2,,,,,,,5,2,,,,,,,,,,,285,3000,57,57,0,,
1,5,100,1,1,2,,,,,,,5,2,,,,,,,,,,,265,2800,53,53,0,,
1,5,100,1,1,2,,,,,,,5,2,,,,,,,,,,,340,3300,68,68,4,,
1,5,100,1,1,2,,,,,,,5,2,,,,,,,,,,,350,3200,70,70,1,,
1,5,100,1,1,2,,,,,,,5,2,,,,,,,,,,,325,3300,65,65,1,,
1,5,50,1,,,,,,,,,5,1,,,,,,,,,,,90,4300,90,90,1,,
1,5,50,1,,,,,,,,,5,1,,,,,,,,,,,101,3850,101,101,0,,
1,5,50,1,,,,,,,,,5,1,,,,,,,,,,,92,3500,92,92,1,,
1,5,50,1,,,,,,,,,5,1,,,,,,,,,,,103,3100,103,103,1,,
1,5,50,1,,,,,,,,,5,1,,,,,,,,,,,88,3250,88,88,0,,
1,5,200,1,,,,,,,,,5,3,,,,,,,,,,,21,1000,21,21,3,,
1,5,200,1,,,,,,,,,5,3,,,,,,,,,,,28,1200,28,28,1,,
1,5,200,1,,,,,,,,,5,3,,,,,,,,,,,46,1600,46,46,11,,
1,5,200,1,,,,,,,,,5,3,,,,,,,,,,,56,1800,56,56,5,,
1,5,200,1,,,,,,,,,5,3,,,,,,,,,,,47,2200,47,47,1,,
1,1,200,1,,,,,3,1,,,,,,,,,,,,,,,135,2200,135,135,0,,
1,1,200,1,,,,,3,1,,,,,,,,,,,,,,,120,2800,120,120,0,,
1,1,200,1,,,,,3,1,,,,,,,,,,,,,,,122,1400,122,122,0,,
1,1,200,1,,,,,3,1,,,,,,,,,,,,,,,103,3600,103,103,3,,
1,1,200,1,,,,,3,1,,,,,,,,,,,,,,,122,2600,122,122,0,,
1,1,200,2,,,,,3,2,,,,,,,,,,,,,,,256,1400,256,128,0,,
1,1,200,2,,,,,3,2,,,,,,,,,,,,,,,252,1600,252,126,0,,
1,1,200,2,,,,,3,2,,,,,,,,,,,,,,,242,2000,242,121,1,,
1,1,200,2,,,,,3,2,,,,,,,,,,,,,,,224,2200,224,112,1,,
1,1,200,2,,,,,3,2,,,,,,,,,,,,,,,238,2400,238,119,6,,
1,1,200,5,,,,,3,3,,,,,,,,,,,,,,,240,1800,240,48,55,,
1,1,200,5,,,,,3,3,,,,,,,,,,,,,,,305,1800,305,61,2,,
1,1,200,5,,,,,3,3,,,,,,,,,,,,,,,235,2000,235,47,30,,
1,1,200,5,,,,,3,3,,,,,,,,,,,,,,,185,2000,185,37,4,,
1,1,200,5,,,,,3,3,,,,,,,,,,,,,,,205,1800,205,41,1,,
1,1,200,1,,,,,,,4,1,,,,,,,0,,,,,,125,2000,125,125,0,,
1,1,200,1,,,,,,,4,1,,,,,,,0,,,,,,128,3800,128,128,0,,
1,1,200,1,,,,,,,4,1,,,,,,,0,,,,,,127,2800,127,127,0,,
1,1,200,1,,,,,,,4,1,,,,,,,0,,,,,,155,2600,155,155,0,,
1,1,200,1,,,,,,,4,1,,,,,,,0,,,,,,120,2600,120,120,0,,
1,1,200,1,,,,,,,4,3,,,,,,,5,,,,,,79,2000,129,129,5,,
1,1,200,1,,,,,,,4,3,,,,,,,5,,,,,,68,2000,118,118,6,,
1,1,200,1,,,,,,,4,3,,,,,,,5,,,,,,81,1800,126,126,5,,
1,1,200,1,,,,,,,4,3,,,,,,,5,,,,,,96,1600,136,136,5,,
1,1,200,1,,,,,,,4,3,,,,,,,5,,,,,,74,2000,124,124,5,,
1,1,200,1,,,,,,,4,4,,,,,,,10,,,,,,31,1800,121,121,10,,
1,1,200,1,,,,,,,4,4,,,,,,,10,,,,,,28,1800,118,118,15,,
1,1,200,1,,,,,,,4,4,,,,,,,10,,,,,,29,2000,129,129,10,,
1,1,200,1,,,,,,,4,4,,,,,,,10,,,,,,24,1800,114,114,11,,
1,1,200,1,,,,,,,4,4,,,,,,,10,,,,,,24,1800,114,114,30,,
1,1,200,1,,,,,,,4,2,,,,,,,2,,,,,,122,1000,132,132,2,,
1,1,200,1,,,,,,,4,2,,,,,,,2,,,,,,107,1000,117,117,11,,
1,1,200,1,,,,,,,4,2,,,,,,,2,,,,,,94,1000,104,104,6,,
1,1,200,1,,,,,,,4,2,,,,,,,2,,,,,,88,600,94,94,15,,
1,1,200,1,,,,,,,4,2,,,,,,,2,,,,,,106,800,114,114,3,,
1,1,200,1,,,,,,,4,5,,,,,,,5,,,,,,70,1400,105,105,5,,
1,1,200,1,,,,,,,4,5,,,,,,,5,,,,,,81,1800,126,126,5,,
1,1,200,1,,,,,,,4,5,,,,,,,5,,,,,,72,1600,112,112,8,,
1,1,200,1,,,,,,,4,5,,,,,,,5,,,,,,80,1400,115,115,9,,
1,1,200,1,,,,,,,4,5,,,,,,,5,,,,,,76,1600,116,116,5,,
1,1,200,1,,,2,1,,,,,,,,,,,,1,,,,,100,1400,100,100,0,,
1,1,200,1,,,2,1,,,,,,,,,,,,1,,,,,99,1800,99,99,0,,
1,1,200,1,,,2,1,,,,,,,,,,,,1,,,,,94,1600,94,94,8,,
1,1,200,1,,,2,1,,,,,,,,,,,,1,,,,,90,2000,90,90,10,,
1,1,200,1,,,2,1,,,,,,,,,,,,1,,,,,108,1800,108,108,12,,
1,1,200,1,,,2,3,,,,,,,,,,,,5,,,,,25,800,125,125,0,,
1,1,200,1,,,2,3,,,,,,,,,,,,5,,,,,26,1200,130,130,0,,
1,1,200,1,,,2,3,,,,,,,,,,,,5,,,,,20,800,100,100,35,,
1,1,200,1,,,2,3,,,,,,,,,,,,5,,,,,23,1000,115,115,10,,
1,1,200,1,,,2,3,,,,,,,,,,,,5,,,,,19,800,95,95,20,,
1,1,200,1,,,2,4,,,,,,,,,,,,10,,,,,10,400,100,100,40,,
1,1,200,1,,,2,4,,,,,,,,,,,,10,,,,,14,600,140,140,0,,
1,1,200,1,,,2,4,,,,,,,,,,,,10,,,,,12,400,120,120,0,,
1,1,200,1,,,2,4,,,,,,,,,,,,10,,,,,10,600,100,100,60,,
1,1,200,1,,,2,4,,,,,,,,,,,,10,,,,,15,800,150,150,0,,
1,1,200,1,,,2,2,,,,,,,,,,,,2,,,,,73,600,146,146,0,,
1,1,200,1,,,2,2,,,,,,,,,,,,2,,,,,46,600,92,92,10,,
1,1,200,1,,,2,2,,,,,,,,,,,,2,,,,,67,800,134,134,0,,
1,1,200,1,,,2,2,,,,,,,,,,,,2,,,,,50,800,100,100,8,,
1,1,200,1,,,2,2,,,,,,,,,,,,2,,,,,54,600,108,108,4,,
1,1,200,1,,,2,5,,,,,,,,,,,,5,,,,,28,600,140,140,0,,
1,1,200,1,,,2,5,,,,,,,,,,,,5,,,,,24,400,120,120,0,,
1,1,200,1,,,2,5,,,,,,,,,,,,5,,,,,24,400,120,120,0,,
1,1,200,1,,,2,5,,,,,,,,,,,,5,,,,,24,400,120,120,0,,
1,1,200,1,,,2,5,,,,,,,,,,,,5,,,,,24,400,120,120,0,,
1,1,200,1,,,,,,,,,,,6,1,,,,,,,,,90,1400,90,90,3,0,
1,1,200,1,,,,,,,,,,,6,1,,,,,,,,,108,3000,108,108,5,0,
1,1,200,1,,,,,,,,,,,6,1,,,,,,,,,122,3000,122,122,0,0,
1,1,200,1,,,,,,,,,,,6,1,,,,,,,,,124,2200,124,124,0,0,
1,1,200,1,,,,,,,,,,,6,1,,,,,,,,,123,1800,123,123,0,0,
1,1,200,1,,,,,,,,,,,6,3,,,,,2,6,,,64,1200,132,132,0,68,
1,1,200,1,,,,,,,,,,,6,3,,,,,2,6,,,82,1800,120,120,0,38,
1,1,200,1,,,,,,,,,,,6,3,,,,,2,6,,,89,1400,145,145,11,56,
1,1,200,1,,,,,,,,,,,6,3,,,,,2,6,,,48,1000,102,102,3,54,
1,1,200,1,,,,,,,,,,,6,3,,,,,2,6,,,72,1200,134,134,0,62,
1,1,200,1,,,,,,,,,,,6,4,,,,,5,6,,,31,600,167,167,0,136,
1,1,200,1,,,,,,,,,,,6,4,,,,,5,6,,,36,800,171,171,0,135,
1,1,200,1,,,,,,,,,,,6,4,,,,,5,6,,,38,600,132,132,0,94,
1,1,200,1,,,,,,,,,,,6,4,,,,,5,6,,,43,800,145,145,0,102,
1,1,200,1,,,,,,,,,,,6,4,,,,,5,6,,,26,400,120,120,0,94,
1,1,200,1,,,,,,,,,,,6,2,,,,,1,6,,,86,1800,120,120,0,34,
1,1,200,1,,,,,,,,,,,6,2,,,,,1,6,,,70,1400,124,124,0,54,
1,1,200,1,,,,,,,,,,,6,2,,,,,1,6,,,67,1600,120,120,27,53,
1,1,200,1,,,,,,,,,,,6,2,,,,,1,6,,,68,1600,121,121,0,53,
1,1,200,1,,,,,,,,,,,6,2,,,,,1,6,,,95,1800,121,121,0,26,
1,1,200,1,,,,,,,,,,,6,5,,,,,2,6,,,47,800,127,127,0,80,
1,1,200,1,,,,,,,,,,,6,5,,,,,2,6,,,28,400,120,120,0,92,
1,1,200,1,,,,,,,,,,,6,5,,,,,2,6,,,20,400,120,120,0,100,
1,1,200,1,,,,,,,,,,,6,5,,,,,2,6,,,54,1000,148,148,0,94,
1,1,200,1,,,,,,,,,,,6,5,,,,,2,6,,,73,1000,135,135,0,62,
